UBIGEO,DEPARTAMENTO,PROVINCIA,Distrito,Zona,Latitud,Longitud,cobertura.cell,Educ.sec.comp,esp.vid.nacer,Ing.fam.p.cap,NBS.2017,No.Pobreza,Tasa.docen_pub,cobertura.cell_mf,Tasa.docen_pub_mf
220507,SAN MARTIN,LAMAS,RUMISAPA,X,-6.4486,-76.4722,90.3225806451613,49.491803048260195,71.5072587659864,644.2859290964512,55.6,78.020845,250.59665871121717,90.3225806451613,250.59665871121717
220508,SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,X,-6.3864,-76.4419,37.5,36.05889418332323,72.65789036261447,492.4451326850749,50.3,69.14451,238.7448840381992,37.5,238.7448840381992
220509,SAN MARTIN,LAMAS,SHANAO,X,-6.41,-76.5939,91.30434782608695,46.93900208192768,69.68743233925817,407.5566003427365,47.5,69.14451,81.98961464881116,91.30434782608695,81.98961464881116
220510,SAN MARTIN,LAMAS,TABALOSOS,X,-6.3856,-76.6333,46.37681159420289,44.75188012112102,71.02010551104725,426.0342434715467,48.0,55.355913,189.7420693744441,46.37681159420289,189.7420693744441
220511,SAN MARTIN,LAMAS,ZAPATERO,X,-6.5308,-76.4911,57.69230769230769,45.01000199636901,70.97087702434857,294.0014862013486,43.7,71.98964000000001,350.4043126684636,57.69230769230769,350.4043126684636
220601,SAN MARTIN,MARISCAL CACERES,JUANJUI,X,-7.1819,-76.7317,50.0,57.634112313976715,71.22933684312659,1019.4194273014666,64.3,80.224887,210.78688770534842,50.0,210.78688770534842
220602,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,X,-7.4814,-76.6528,20.930232558139537,38.37925173253443,71.6128903553143,415.0925101754232,29.099999999999994,76.336273,332.3774765380605,20.930232558139537,332.3774765380605
220603,SAN MARTIN,MARISCAL CACERES,HUICUNGO,X,-7.3272,-76.7783,9.756097560975604,28.38870066948349,72.82706446678314,475.1764889665689,40.1,67.10159999999999,271.49321266968326,9.756097560975604,271.49321266968326
220604,SAN MARTIN,MARISCAL CACERES,PACHIZA,X,-7.2975,-76.7739,27.272727272727266,28.8617994615333,72.62094701537991,550.6200893012058,25.900000000000006,67.10159999999999,325.8026159334126,27.272727272727266,325.8026159334126
220605,SAN MARTIN,MARISCAL CACERES,PAJARILLO,X,-7.1789,-76.6881,48.78048780487805,39.90162614851666,73.08921113915697,567.3410535550911,28.700000000000003,71.35485700000001,201.8733850129199,48.78048780487805,201.8733850129199
220701,SAN MARTIN,PICOTA,PICOTA,X,-6.9194,-76.3317,96.66666666666667,50.761128211223074,74.72209379840524,1023.3669112145985,63.9,75.29198,222.51623767139762,96.66666666666667,222.51623767139762
220702,SAN MARTIN,PICOTA,BUENOS AIRES,X,-6.7939,-76.3269,31.914893617021278,38.554895877891816,76.17229275413857,588.9777288344336,37.1,70.638774,219.0447216306663,31.914893617021278,219.0447216306663
220703,SAN MARTIN,PICOTA,CASPISAPA,X,-6.9589,-76.4189,84.61538461538461,54.58793908626155,73.9516996382429,851.9621035656487,71.8,81.92557,173.7089201877934,84.61538461538461,173.7089201877934
220704,SAN MARTIN,PICOTA,PILLUANA,X,-6.7781,-76.2931,100.0,35.54563475384473,77.77092353237457,465.95889780067773,27.900000000000006,76.089714,248.90190336749635,100.0,248.90190336749635
220705,SAN MARTIN,PICOTA,PUCACACA,X,-6.8506,-76.3417,80.55555555555556,55.54005430288239,75.76914219484046,885.659351724729,47.2,83.574336,201.56314273961334,80.55555555555556,201.56314273961334
220706,SAN MARTIN,PICOTA,SAN CRISTOBAL,X,-6.9925,-76.4186,94.73684210526316,45.92975277182184,76.114606909309,992.8916905511442,53.6,81.92557,147.16187806587246,94.73684210526316,147.16187806587246
220707,SAN MARTIN,PICOTA,SAN HILARION,X,-7.0022,-76.4428,81.25,58.01094516757828,75.29125332939276,1053.4851730520309,56.9,75.29198,125.08686587908271,81.25,125.08686587908271
220708,SAN MARTIN,PICOTA,SHAMBOYACU,X,-7.0425,-76.1119,12.5,27.43347360417412,77.08021631720757,395.43205367121357,15.200000000000003,50.318106,171.48014440433215,12.5,171.48014440433215
220709,SAN MARTIN,PICOTA,TINGO DE PONASA,X,-6.9356,-76.2511,44.565217391304344,44.37893741428722,77.91595291724411,828.8689170819158,39.0,57.608471,257.72141542237677,44.565217391304344,257.72141542237677
220710,SAN MARTIN,PICOTA,TRES UNIDOS,X,-6.8064,-76.2311,18.604651162790702,24.624987931880387,72.65526582306079,476.437123467954,47.0,61.819913,157.03869882220977,18.604651162790702,157.03869882220977
